lang,word,sentiment,value
portuguese,abba,positive,1
portuguese,capacidade,positive,1
portuguese,mencionado acima,positive,1
portuguese,absoluto,positive,1
portuguese,absolvição,positive,1
portuguese,absorvido,positive,1
portuguese,abundância,positive,1
portuguese,abundante,positive,1
portuguese,acadêmico,positive,1
portuguese,academia,positive,1
portuguese,aceitável,positive,1
portuguese,aceitação,positive,1
portuguese,acessível,positive,1
portuguese,elogio,positive,1
portuguese,acomodação,positive,1
portuguese,acompanhamento,positive,1
portuguese,realizar,positive,1
portuguese,realizado,positive,1
portuguese,realização,positive,1
portuguese,acordo,positive,1
portuguese,prestação de contas,positive,1
portuguese,responsável,positive,1
portuguese,acreditado,positive,1
portuguese,accueil,positive,1
portuguese,exato,positive,1
portuguese,ás,positive,1
portuguese,alcançar,positive,1
portuguese,realização,positive,1
portuguese,reconhecimento,positive,1
portuguese,adquirir,positive,1
portuguese,aquisição,positive,1
portuguese,acrobata,positive,1
portuguese,açao,positive,1
portuguese,real,positive,1
portuguese,acuidade,positive,1
portuguese,perspicácia,positive,1
portuguese,adaptar,positive,1
portuguese,adaptável,positive,1
portuguese,endereços,positive,1
portuguese,perito,positive,1
portuguese,adequação,positive,1
portuguese,adjunto,positive,1
portuguese,admirável,positive,1
portuguese,almirante,positive,1
portuguese,admiração,positive,1
portuguese,admirar,positive,1
portuguese,admirador,positive,1
portuguese,admissível,positive,1
portuguese,adorável,positive,1
portuguese,adoração,positive,1
portuguese,adorar,positive,1
portuguese,avançar,positive,1
portuguese,avançado,positive,1
portuguese,avanço,positive,1
portuguese,vantagem,positive,1
portuguese,vantajoso,positive,1
portuguese,advento,positive,1
portuguese,aventura,positive,1
portuguese,aventuroso,positive,1
portuguese,aconselhável,positive,1
portuguese,aconselhar,positive,1
portuguese,conselheiro,positive,1
portuguese,advocacia,positive,1
portuguese,estético,positive,1
portuguese,estética,positive,1
portuguese,afável,positive,1
portuguese,afeição,positive,1
portuguese,afiliado,positive,1
portuguese,afirmar,positive,1
portuguese,afirmação,positive,1
portuguese,afirmativo,positive,1
portuguese,afirmativamente,positive,1
portuguese,afluência,positive,1
portuguese,afluente,positive,1
portuguese,proporcionar,positive,1
portuguese,aga,positive,1
portuguese,ágil,positive,1
portuguese,agilidade,positive,1
portuguese,concordar,positive,1
portuguese,agradável,positive,1
portuguese,combinado,positive,1
portuguese,concordando,positive,1
portuguese,acordo,positive,1
portuguese,agricultura,positive,1
portuguese,à frente,positive,1
portuguese,ajuda,positive,1
portuguese,auxiliando,positive,1
portuguese,alabastro,positive,1
portuguese,estado de alerta,positive,1
portuguese,alimentação,positive,1
portuguese,vivo,positive,1
portuguese,acalmar,positive,1
portuguese,fidelidade,positive,1
portuguese,allegro,positive,1
portuguese,aliviar,positive,1
portuguese,alívio,positive,1
portuguese,aliado,positive,1
portuguese,admissível,positive,1
portuguese,fascinação,positive,1
portuguese,sedutor,positive,1
portuguese,aliado,positive,1
portuguese,onipotente,positive,1
portuguese,aloha,positive,1
portuguese,incrivelmente,positive,1
portuguese,embaixador,positive,1
portuguese,ambição,positive,1
portuguese,melhorar,positive,1
portuguese,amém,positive,1
portuguese,dócil,positive,1
portuguese,emendar,positive,1
portuguese,reparação,positive,1
portuguese,amenidade,positive,1
portuguese,amável,positive,1
portuguese,amigável,positive,1
portuguese,anistia,positive,1
portuguese,amour,positive,1
portuguese,divertir,positive,1
portuguese,divertido,positive,1
portuguese,divertimento,positive,1
portuguese,divertido,positive,1
portuguese,analista,positive,1
